college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GOPENH,13506,70.1703163
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GSCH,13231,70.7840876
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GSTH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GNTAH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GNTCH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GSEBCH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,LOPENH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,LSTH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,LNTCH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,LSEBCH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,PWDOPENH,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GOPENO,19210,57.2466491
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GSTO,23523,47.2754604
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GNTAO,19242,57.2466491
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GNTCO,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GOBCO,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,GSEBCO,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,LOPENO,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,LSTO,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,Home University Seats Allotted to Home University Candidates,LSEBCO,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,DEFOPENS,18966,57.96339
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,ORPHAN,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,TFWS,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,CAP,1106,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,BBA,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,BMS,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,BBM,0,0.0
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BBA,State Level,MBA,0,0.0
1106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BBA,State Level,CAP,1111,0.0
1106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BBA,State Level,BBA,0,0.0
1106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BBA,State Level,BMS,0,0.0
1106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BBA,State Level,BBM,0,0.0
1106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BBA,State Level,MBA,0,0.0
1111,"P.G. Department of Computer Science & Technology, D.C.P.E., H.V.P. Mandal, Amravati",0111110110,BBA,Home University Seats Allotted to Home University Candidates,GOPENH,39666,5.3945082
