college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GOPENH,6437,85.9923531
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GSCH,12453,72.6650332
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GSTH,26197,41.6402421
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GNTAH,25349,42.2275121
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GNTBH,8083,82.4156818
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GNTCH,7307,83.8998957
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GOBCH,7846,82.7320125
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GSEBCH,21228,52.8826751
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LOPENH,5569,87.7125973
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LSCH,10990,75.6546202
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LSTH,13152,70.7840876
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LNTAH,12868,71.4203275
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LNTCH,6884,84.9740559
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LOBCH,11324,75.4188391
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LSEBCH,35171,18.5331943
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,PWDOPENH,0,0.0
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,11018,75.6546202
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,23311,47.7094195
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,14466,68.2168926
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,5503,88.3211679
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,LSCO,21858,50.5596107
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOBCO,13123,70.7840876
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GSTO,27292,38.6350533
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GNTAO,27027,38.8321168
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,GNTCO,20729,53.2499131
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,Home University Seats Allotted to Home University Candidates,LSTO,31449,27.908822
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,State Level,DEFOPENS,19317,57.2466491
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,State Level,EWS,13728,69.3067879
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,State Level,TFWS,3844,91.7274939
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,State Level,CAP,1106,0.0
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,State Level,BCA,0,0.0
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110210110,BCA,State Level,MCA,0,0.0
01106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BCA,Home University Seats Allotted to Home University Candidates,GOPENH,22915,47.8179326
01106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BCA,Home University Seats Allotted to Home University Candidates,LOPENH,20096,55.5419429
01106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,39226,7.2019465
01106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",0110610110,BCA,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,40219,3.8095238
