college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOPENH,190,33.0672748
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GSCH,242,11.2884835
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GNTAH,219,22.1208666
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOBCH,252,5.0171038
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,LOPENH,247,7.2976055
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,LOBCH,253,5.0171038
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,191,30.5587229
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOBCO,228,15.963512
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOPENO,256,2.5085519
4219,"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",421944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOBCO,259,0.9122007
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOPENH,107,54.0478905
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GSCH,229,15.963512
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GNTDH,196,27.936146
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOBCH,203,24.6294185
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,LOPENH,200,27.936146
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,LOBCH,235,14.1391106
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,PWDOPENH,51,79.0193843
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,162,41.8472064
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,58,76.3968073
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOBCO,257,1.5963512
5219,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",521944110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,LOBCO,255,3.5347777
6540,"Maharashtra State Institute of Hotel Management & Catering Technology,Pune",654044110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOPENH,126,49.1448119
6540,"Maharashtra State Institute of Hotel Management & Catering Technology,Pune",654044110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GSCH,155,41.8472064
6540,"Maharashtra State Institute of Hotel Management & Catering Technology,Pune",654044110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GNTBH,241,11.2884835
6540,"Maharashtra State Institute of Hotel Management & Catering Technology,Pune",654044110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,GOBCH,240,11.2884835
6540,"Maharashtra State Institute of Hotel Management & Catering Technology,Pune",654044110,Hotel Management and Catering Technology,Home University Seats Allotted to Home University Candidates,LOPENH,71,69.7833523
