college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,CAP,3248,0.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,III,0,0.0
3247,"Kamla Raheja Vidhyanidhi Institute for Architecture and Environmental Studies, Mumbai",324704710,Urban Design,State Level,ARCH,0,0.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,CAP,6264,0.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,III,0,0.0
3248,"Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture, Mumbai",324804910,Project Management,State Level,ARCH,0,0.0
6264,"Shree Prince Shivaji Maratha Boarding's College of Architecture, Kolhapur",626421010,Construction Management,State Level,CAP,6538,0.0
6264,"Shree Prince Shivaji Maratha Boarding's College of Architecture, Kolhapur",626421010,Construction Management,State Level,III,0,0.0
6264,"Shree Prince Shivaji Maratha Boarding's College of Architecture, Kolhapur",626421010,Construction Management,State Level,ARCH,0,0.0
6538,"Padmashree Dr.D.Y.Patil College of Architecture, Pune",653821010,Construction Management,State Level,CAP,6818,0.0
6538,"Padmashree Dr.D.Y.Patil College of Architecture, Pune",653821010,Construction Management,State Level,III,0,0.0
6538,"Padmashree Dr.D.Y.Patil College of Architecture, Pune",653821010,Construction Management,State Level,ARCH,0,0.0
