college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
01107,"P. R. Pote Patil College of Engineering & Management, Amravati",0110729210,Electrical Power System [Non Sponsored],Unknown,GOPENS,3937,0.0
01107,"P. R. Pote Patil College of Engineering & Management, Amravati",0110729210,Electrical Power System [Non Sponsored],Unknown,GSCS,6,0.0
01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",0112391210,Transportation Engineering and Management [Non Sponsored],Unknown,GOPENS,4279,0.0
01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",0112391210,Transportation Engineering and Management [Non Sponsored],Unknown,GSCS,5,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112824210,Computer Science and Engineering [Non Sponsored],Unknown,GOPENS,4389,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112824210,Computer Science and Engineering [Non Sponsored],Unknown,PWDOPENS,5,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112858110,Electrical Engineering [Electronics & Power] [Non Sponsored],Unknown,GOPENS,2255,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112858110,Electrical Engineering [Electronics & Power] [Non Sponsored],Unknown,GSCS,11,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112858110,Electrical Engineering [Electronics & Power] [Non Sponsored],Unknown,GOBCS,67,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112891010,Construction Engg and Management [Non Sponsored],Unknown,GOPENS,1833,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112891010,Construction Engg and Management [Non Sponsored],Unknown,GSCS,13,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112891010,Construction Engg and Management [Non Sponsored],Unknown,GSTS,11,0.0
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",0112891010,Construction Engg and Management [Non Sponsored],Unknown,GOBCS,3452,0.0
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",0113021210,Structural Engineering [Non Sponsored],Unknown,GOPENS,1749,0.0
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",0113021210,Structural Engineering [Non Sponsored],Unknown,GSCS,13,0.0
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",0113021210,Structural Engineering [Non Sponsored],Unknown,GOBCS,43,0.0
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",0113021210,Structural Engineering [Non Sponsored],Unknown,PWDOPENS,3129,0.0
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",0113021210,Structural Engineering [Non Sponsored],Unknown,EWS,9,0.0
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",0113060410,CAD-CAM [Non Sponsored],Unknown,CAD,0,12.0
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",0113060410,CAD-CAM [Non Sponsored],Unknown,CAM,0,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202005010,Artificial Intelligence [Non Sponsored],Unknown,GOPENS,2148,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202005010,Artificial Intelligence [Non Sponsored],Unknown,GSCS,12,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202005010,Artificial Intelligence [Non Sponsored],Unknown,GOBCS,4657,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202019910,Civil Engineering (Water Management) [Non Sponsored],Unknown,GOPENS,3569,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202019910,Civil Engineering (Water Management) [Non Sponsored],Unknown,GSCS,7,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202019910,Civil Engineering (Water Management) [Non Sponsored],Unknown,EWS,73,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202021210,Structural Engineering [Non Sponsored],Unknown,GOPENS,944,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202021210,Structural Engineering [Non Sponsored],Unknown,GSCS,17,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202021210,Structural Engineering [Non Sponsored],Unknown,GOBCS,36,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202021210,Structural Engineering [Non Sponsored],Unknown,GSEBCS,1412,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202021210,Structural Engineering [Non Sponsored],Unknown,EWS,14,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202062110,Mechanical Engineering (CAD/CAM) [Non Sponsored],Unknown,CAD,0,8.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202062110,Mechanical Engineering (CAD/CAM) [Non Sponsored],Unknown,CAM,0,0.0
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202062410,Mechanical - Product Life Cycle Management [Non Sponsored],Unknown,GOPENS,2267,0.0
