college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,GOPENH,11971,76.7274979
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,GSCH,15662,69.3798114
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,GSTH,32082,37.4663878
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,GNTAH,24566,52.1655193
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,GNTBH,20887,60.1322079
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,GNTDH,19764,61.490921
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,GOBCH,12592,75.5384943
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Home University Seats Allotted to Home University Candidates,PWDOPENH,26310,48.7342003
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,7403,85.2438713
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,10055,80.4152973
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Other Than Home University Seats Allotted to Other Than Home University Candidates,GNTAO,9303,81.7928243
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,8338,83.7038318
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,State Level,ORPHAN,14076,72.8397197
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,State Level,EWS,10902,78.6114431
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,State Level,TFWS,0,0.0
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,State Level,CAP,1101,0.0
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,State Level,MBA,0,0.0
