college_code,college_name,course_code,course_name,seat_type,category,rank,percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GOPENS,33717,88.6037289
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GSCS,61041,78.5613347
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GNT3S,67451,76.1358545
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GSEBCS,83123,69.7604398
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LSCS,50493,82.7086811
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LVJS,52977,81.7098306
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,PWDOPENS,115797,53.7424491
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,State Level,GOBCS,8917,97.0497898
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,State Level,GSEBCS,24057,91.9492948
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,State Level,LOPENS,11969,96.0392321
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,State Level,LSEBCS,24708,91.7849899
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,State Level,TFWS,13259,95.6320635
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,State Level,ORPHAN,19241,93.6359026
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,State Level,GOPENS,24135,91.9393058
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,State Level,GNT2S,50339,82.7086811
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,State Level,LNT1S,44865,84.5731157
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,State Level,TFWS,12755,95.7978793
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,State Level,EWS,75966,72.7750912
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,State Level,GOPENS,34174,88.5013511
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,State Level,LOBCS,32099,89.1945571
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,State Level,GOPENS,31514,89.3223371
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,State Level,GSCS,62783,77.8445199
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,State Level,GVJS,67622,76.1268781
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,State Level,LOPENS,38944,86.7801974
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,State Level,LSCS,64534,77.2074577
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,State Level,LSTS,48807,83.1469549
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,State Level,LOBCS,52116,81.934184
